user_id,item_id,rating,product_title,description
u10,i74,5,Product i74,This is a description for product i74. It's great for use case 2.
u10,i95,1,Product i95,This is a description for product i95. It's great for use case 5.
u11,i81,2,Product i81,This is a description for product i81. It's great for use case 5.
u11,i87,5,Product i87,This is a description for product i87. It's great for use case 1.
u11,i91,5,Product i91,This is a description for product i91. It's great for use case 3.
u11,i94,1,Product i94,This is a description for product i94. It's great for use case 2.
u12,i8,2,Product i8,This is a description for product i8. It's great for use case 4.
u12,i17,2,Product i17,This is a description for product i17. It's great for use case 2.
u12,i42,1,Product i42,This is a description for product i42. It's great for use case 8.
u12,i55,4,Product i55,This is a description for product i55. It's great for use case 3.
u12,i58,1,Product i58,This is a description for product i58. It's great for use case 4.
u12,i68,2,Product i68,This is a description for product i68. It's great for use case 2.
u12,i75,3,Product i75,This is a description for product i75. It's great for use case 8.
u12,i79,4,Product i79,This is a description for product i79. It's great for use case 4.
u12,i94,4,Product i94,This is a description for product i94. It's great for use case 1.
u13,i13,4,Product i13,This is a description for product i13. It's great for use case 2.
u13,i34,1,Product i34,This is a description for product i34. It's great for use case 7.
u13,i43,1,Product i43,This is a description for product i43. It's great for use case 3.
u13,i95,5,Product i95,This is a description for product i95. It's great for use case 5.
u14,i3,2,Product i3,This is a description for product i3. It's great for use case 9.
u14,i6,3,Product i6,This is a description for product i6. It's great for use case 6.
u14,i15,1,Product i15,This is a description for product i15. It's great for use case 2.
u14,i37,2,Product i37,This is a description for product i37. It's great for use case 1.
u14,i79,3,Product i79,This is a description for product i79. It's great for use case 3.
u15,i36,5,Product i36,This is a description for product i36. It's great for use case 6.
u15,i74,4,Product i74,This is a description for product i74. It's great for use case 3.
u16,i12,4,Product i12,This is a description for product i12. It's great for use case 8.
u16,i30,1,Product i30,This is a description for product i30. It's great for use case 7.
u16,i75,1,Product i75,This is a description for product i75. It's great for use case 4.
u16,i84,3,Product i84,This is a description for product i84. It's great for use case 2.
u17,i19,2,Product i19,This is a description for product i19. It's great for use case 5.
u17,i20,5,Product i20,This is a description for product i20. It's great for use case 7.
u17,i24,2,Product i24,This is a description for product i24. It's great for use case 5.
u17,i27,1,Product i27,This is a description for product i27. It's great for use case 3.
u17,i63,1,Product i63,This is a description for product i63. It's great for use case 7.
u17,i67,5,Product i67,This is a description for product i67. It's great for use case 4.
u17,i80,4,Product i80,This is a description for product i80. It's great for use case 1.
u17,i91,2,Product i91,This is a description for product i91. It's great for use case 5.
u17,i100,1,Product i100,This is a description for product i100. It's great for use case 8.
u18,i11,5,Product i11,This is a description for product i11. It's great for use case 3.
u18,i66,1,Product i66,This is a description for product i66. It's great for use case 2.
u18,i80,5,Product i80,This is a description for product i80. It's great for use case 6.
u18,i95,3,Product i95,This is a description for product i95. It's great for use case 1.
u19,i43,2,Product i43,This is a description for product i43. It's great for use case 3.
u19,i66,4,Product i66,This is a description for product i66. It's great for use case 2.
u19,i73,3,Product i73,This is a description for product i73. It's great for use case 4.
u19,i90,5,Product i90,This is a description for product i90. It's great for use case 4.
u20,i24,5,Product i24,This is a description for product i24. It's great for use case 6.
u20,i62,5,Product i62,This is a description for product i62. It's great for use case 5.
u20,i78,1,Product i78,This is a description for product i78. It's great for use case 3.
u21,i28,5,Product i28,This is a description for product i28. It's great for use case 5.
u21,i48,2,Product i48,This is a description for product i48. It's great for use case 6.
u21,i55,1,Product i55,This is a description for product i55. It's great for use case 7.
u21,i63,1,Product i63,This is a description for product i63. It's great for use case 8.
u21,i90,3,Product i90,This is a description for product i90. It's great for use case 1.
u21,i93,4,Product i93,This is a description for product i93. It's great for use case 6.
u22,i18,3,Product i18,This is a description for product i18. It's great for use case 1.
u22,i28,3,Product i28,This is a description for product i28. It's great for use case 4.
u22,i58,3,Product i58,This is a description for product i58. It's great for use case 7.
u22,i61,4,Product i61,This is a description for product i61. It's great for use case 2.
u23,i14,3,Product i14,This is a description for product i14. It's great for use case 9.
u23,i15,4,Product i15,This is a description for product i15. It's great for use case 1.
u23,i20,1,Product i20,This is a description for product i20. It's great for use case 1.
u23,i25,3,Product i25,This is a description for product i25. It's great for use case 1.
u23,i58,4,Product i58,This is a description for product i58. It's great for use case 5.
u23,i87,1,Product i87,This is a description for product i87. It's great for use case 5.
u24,i35,5,Product i35,This is a description for product i35. It's great for use case 6.
u24,i45,3,Product i45,This is a description for product i45. It's great for use case 2.
u24,i49,1,Product i49,This is a description for product i49. It's great for use case 4.
u25,i19,2,Product i19,This is a description for product i19. It's great for use case 2.
u25,i24,5,Product i24,This is a description for product i24. It's great for use case 9.
u25,i39,5,Product i39,This is a description for product i39. It's great for use case 1.
u25,i63,1,Product i63,This is a description for product i63. It's great for use case 2.
u25,i73,1,Product i73,This is a description for product i73. It's great for use case 8.
u25,i83,5,Product i83,This is a description for product i83. It's great for use case 9.
u25,i94,3,Product i94,This is a description for product i94. It's great for use case 6.
u25,i97,3,Product i97,This is a description for product i97. It's great for use case 9.
u26,i7,3,Product i7,This is a description for product i7. It's great for use case 9.
u26,i10,5,Product i10,This is a description for product i10. It's great for use case 9.
u26,i15,3,Product i15,This is a description for product i15. It's great for use case 5.
u26,i19,3,Product i19,This is a description for product i19. It's great for use case 8.
u26,i60,4,Product i60,This is a description for product i60. It's great for use case 9.
u26,i74,5,Product i74,This is a description for product i74. It's great for use case 8.
u26,i76,1,Product i76,This is a description for product i76. It's great for use case 1.
u27,i12,2,Product i12,This is a description for product i12. It's great for use case 4.
u27,i23,3,Product i23,This is a description for product i23. It's great for use case 4.
u27,i28,5,Product i28,This is a description for product i28. It's great for use case 7.
u27,i47,2,Product i47,This is a description for product i47. It's great for use case 1.
u27,i88,5,Product i88,This is a description for product i88. It's great for use case 9.
u27,i89,1,Product i89,This is a description for product i89. It's great for use case 6.
u27,i94,4,Product i94,This is a description for product i94. It's great for use case 3.
u28,i19,2,Product i19,This is a description for product i19. It's great for use case 9.
u28,i41,1,Product i41,This is a description for product i41. It's great for use case 9.
u28,i56,4,Product i56,This is a description for product i56. It's great for use case 3.
u28,i57,2,Product i57,This is a description for product i57. It's great for use case 1.
u28,i86,4,Product i86,This is a description for product i86. It's great for use case 1.
u29,i43,3,Product i43,This is a description for product i43. It's great for use case 6.
u29,i63,4,Product i63,This is a description for product i63. It's great for use case 7.
u29,i73,2,Product i73,This is a description for product i73. It's great for use case 3.
u29,i91,1,Product i91,This is a description for product i91. It's great for use case 9.
u29,i92,3,Product i92,This is a description for product i92. It's great for use case 2.
u30,i32,4,Product i32,This is a description for product i32. It's great for use case 6.
u30,i87,2,Product i87,This is a description for product i87. It's great for use case 5.
u30,i92,3,Product i92,This is a description for product i92. It's great for use case 3.
u31,i30,1,Product i30,This is a description for product i30. It's great for use case 9.
u31,i50,1,Product i50,This is a description for product i50. It's great for use case 8.
u31,i51,2,Product i51,This is a description for product i51. It's great for use case 8.
u31,i74,3,Product i74,This is a description for product i74. It's great for use case 2.
u31,i77,4,Product i77,This is a description for product i77. It's great for use case 2.
u32,i41,5,Product i41,This is a description for product i41. It's great for use case 5.
u32,i63,3,Product i63,This is a description for product i63. It's great for use case 3.
u32,i71,4,Product i71,This is a description for product i71. It's great for use case 5.
u32,i73,2,Product i73,This is a description for product i73. It's great for use case 1.
u32,i75,3,Product i75,This is a description for product i75. It's great for use case 3.
u33,i15,2,Product i15,This is a description for product i15. It's great for use case 1.
u33,i18,1,Product i18,This is a description for product i18. It's great for use case 7.
u33,i76,3,Product i76,This is a description for product i76. It's great for use case 8.
u33,i78,2,Product i78,This is a description for product i78. It's great for use case 7.
u33,i98,4,Product i98,This is a description for product i98. It's great for use case 7.
u34,i67,2,Product i67,This is a description for product i67. It's great for use case 2.
u34,i82,4,Product i82,This is a description for product i82. It's great for use case 9.
u34,i94,1,Product i94,This is a description for product i94. It's great for use case 8.
u35,i35,4,Product i35,This is a description for product i35. It's great for use case 1.
u35,i70,2,Product i70,This is a description for product i70. It's great for use case 9.
u35,i78,4,Product i78,This is a description for product i78. It's great for use case 9.
u36,i15,3,Product i15,This is a description for product i15. It's great for use case 5.
u36,i35,2,Product i35,This is a description for product i35. It's great for use case 5.
u36,i39,1,Product i39,This is a description for product i39. It's great for use case 7.
u36,i65,5,Product i65,This is a description for product i65. It's great for use case 6.
u36,i81,3,Product i81,This is a description for product i81. It's great for use case 1.
u36,i86,5,Product i86,This is a description for product i86. It's great for use case 1.
u36,i97,4,Product i97,This is a description for product i97. It's great for use case 2.
u37,i30,3,Product i30,This is a description for product i30. It's great for use case 1.
u37,i74,2,Product i74,This is a description for product i74. It's great for use case 6.
u37,i77,3,Product i77,This is a description for product i77. It's great for use case 5.
u37,i86,2,Product i86,This is a description for product i86. It's great for use case 8.
u38,i22,5,Product i22,This is a description for product i22. It's great for use case 3.
u38,i66,2,Product i66,This is a description for product i66. It's great for use case 1.
u38,i98,1,Product i98,This is a description for product i98. It's great for use case 2.
u39,i3,2,Product i3,This is a description for product i3. It's great for use case 9.
u39,i5,4,Product i5,This is a description for product i5. It's great for use case 2.
u39,i34,3,Product i34,This is a description for product i34. It's great for use case 5.
u39,i38,4,Product i38,This is a description for product i38. It's great for use case 1.
u39,i52,3,Product i52,This is a description for product i52. It's great for use case 1.
u40,i13,2,Product i13,This is a description for product i13. It's great for use case 6.
u40,i60,3,Product i60,This is a description for product i60. It's great for use case 5.
u41,i13,3,Product i13,This is a description for product i13. It's great for use case 5.
u41,i16,2,Product i16,This is a description for product i16. It's great for use case 1.
u41,i22,5,Product i22,This is a description for product i22. It's great for use case 1.
u41,i26,4,Product i26,This is a description for product i26. It's great for use case 6.
u41,i43,3,Product i43,This is a description for product i43. It's great for use case 7.
u41,i76,2,Product i76,This is a description for product i76. It's great for use case 9.
u41,i93,5,Product i93,This is a description for product i93. It's great for use case 2.
u42,i2,1,Product i2,This is a description for product i2. It's great for use case 2.
u42,i3,2,Product i3,This is a description for product i3. It's great for use case 8.
u42,i28,3,Product i28,This is a description for product i28. It's great for use case 2.
u42,i47,5,Product i47,This is a description for product i47. It's great for use case 8.
u42,i66,3,Product i66,This is a description for product i66. It's great for use case 6.
u42,i89,1,Product i89,This is a description for product i89. It's great for use case 4.
u42,i94,4,Product i94,This is a description for product i94. It's great for use case 2.
u43,i19,1,Product i19,This is a description for product i19. It's great for use case 9.
u43,i29,5,Product i29,This is a description for product i29. It's great for use case 9.
u43,i31,1,Product i31,This is a description for product i31. It's great for use case 5.
u43,i32,5,Product i32,This is a description for product i32. It's great for use case 4.
u44,i39,3,Product i39,This is a description for product i39. It's great for use case 2.
u44,i48,1,Product i48,This is a description for product i48. It's great for use case 1.
u44,i55,5,Product i55,This is a description for product i55. It's great for use case 9.
u44,i83,4,Product i83,This is a description for product i83. It's great for use case 6.
u44,i99,2,Product i99,This is a description for product i99. It's great for use case 7.
u45,i11,2,Product i11,This is a description for product i11. It's great for use case 4.
u45,i23,4,Product i23,This is a description for product i23. It's great for use case 3.
u45,i25,4,Product i25,This is a description for product i25. It's great for use case 8.
u45,i52,2,Product i52,This is a description for product i52. It's great for use case 1.
u45,i61,4,Product i61,This is a description for product i61. It's great for use case 1.
u45,i64,3,Product i64,This is a description for product i64. It's great for use case 7.
u46,i66,3,Product i66,This is a description for product i66. It's great for use case 4.
u46,i94,1,Product i94,This is a description for product i94. It's great for use case 1.
u46,i95,2,Product i95,This is a description for product i95. It's great for use case 8.
u47,i19,2,Product i19,This is a description for product i19. It's great for use case 9.
u47,i84,4,Product i84,This is a description for product i84. It's great for use case 9.
u48,i7,1,Product i7,This is a description for product i7. It's great for use case 3.
u48,i27,4,Product i27,This is a description for product i27. It's great for use case 8.
u48,i30,1,Product i30,This is a description for product i30. It's great for use case 5.
u48,i72,2,Product i72,This is a description for product i72. It's great for use case 8.
u48,i74,4,Product i74,This is a description for product i74. It's great for use case 9.
u48,i92,5,Product i92,This is a description for product i92. It's great for use case 5.
u49,i2,1,Product i2,This is a description for product i2. It's great for use case 5.
u49,i4,1,Product i4,This is a description for product i4. It's great for use case 5.
u49,i61,3,Product i61,This is a description for product i61. It's great for use case 2.
u49,i77,4,Product i77,This is a description for product i77. It's great for use case 7.
u49,i92,5,Product i92,This is a description for product i92. It's great for use case 4.
u49,i95,2,Product i95,This is a description for product i95. It's great for use case 9.
u50,i6,1,Product i6,This is a description for product i6. It's great for use case 1.
u50,i12,4,Product i12,This is a description for product i12. It's great for use case 2.
u50,i13,1,Product i13,This is a description for product i13. It's great for use case 1.
u50,i55,2,Product i55,This is a description for product i55. It's great for use case 4.
u50,i76,1,Product i76,This is a description for product i76. It's great for use case 9.
u50,i87,4,Product i87,This is a description for product i87. It's great for use case 6.
